major,smartphone age,number countries,Avengers: Endgame,Back to the Future,Barbie,Booksmart,Deadpool and Wolverine,Die Hard,Dune,Encanto,Everything Everywhere All at Once,Get Out,Inside Out 2,Interstellar,Jurassic Park,Knives Out,Lady Bird,Mad Max: Fury Road,My Neighbor Totoro,Oppenheimer,Poor Things,Spider-Man: Into the Spiderverse,Star Wars: A New Hope,The Matrix,To All The Boys I've Loved
BME,12,13.0,,3,5,5,,3,,,,5,4,,3,4,5,,,4,,4,4,,
BME,13,6.0,,,4,,,,,,,,,,,,,,,,,,,,
ME,13,13.0,5,,3,,,,4,,,,,,,,,,,,,,,,
BME,12,1.0,5,,4,,5,,,4,,,,,,,,,,,,,,,
BME,12,6.0,5,,4,,4,,4,3,5,,,,,,,,,,,,,,
BME,10,2.0,5,5,5,,5,4,5,4,5,5,,5,5,5,,5,,5,,5,5,5,3
ME,14,2.0,4,,5,5,4,5,4,4,,,2,3,3,4,,,,,,4,3,,5
CE,10,7.0,5,5,,,4,5,5,,,4,,5,4,4,4,,4,5,5,5,5,5,
CE,12,2.0,4,,5,,,,,,,,,4,,,,,,,,3,,,4
CE,12,8.0,5,4,4,,4,4,5,3,3,4,3,5,4,4,,3,5,5,,4,4,4,2
BME,11,2.0,,,3,,,4,4,2,,,,,,,,,,,,,,,
BME,9,7.0,5,,3,,2,,3,,4,,,,,,,,,,,,,,
CE,11,23.0,5,4,5,,4,,5,,5,,,5,4,3,,4,,3,3,3,3,,
BME,14,15.0,4,,5,4,,,5,,,,,,,,,,,,,,,,
BME,12,2.0,5,,,,4,5,,5,3,,,,,,,,,,,,,,
BME,13,10.0,3,,4,,5,5,,4,,,,,,,,,,,,,,,
CE,11,5.0,4,,5,,,,4,5,5,,,,,,,,,,,,,,
BME,9,10.0,4,,4,,,,,3,,,5,,,,,,4,,,,5,,4
CE,12,5.0,5,,,,,4,4,,5,,,,,,,,,,,,,,
ME,12,4.0,4,,5,,5,,5,4,,,4,,4,,,5,,5,,4,2,,4
BME,12,10.0,,,4,,,,,,,,,4,5,,,,,,,,,4,
BME,12,7.0,5,,4,,3,,4,4,4,,,5,5,4,,,5,,,5,,,4
BME,7,18.0,5,4,,,,4,,,,4,5,5,4,4,4,,4,,,5,5,5,4
CE,12,2.0,5,5,,,5,4,4,,4,,,5,4,,,,,3,,5,,4,
BME,12,20.0,5,,4,,,,,3,3,,,,,,,,,,,,,,
ME,10,2.0,5,,2,,,,,,5,,,,,,,,,,,,,,
ME,11,3.0,5,3,3,,5,,3,3,,,3,5,4,3,,,,,,,,5,2
CE,10,5.0,5,4,4,,5,,5,,,,,,,,,,,,,5,,,
ME,11,2.0,3,,5,,,3,5,,,,,,,,,,,,,,,,
ME,13,20.0,5,,,,,,4,4,5,,,,,,,,,,,,,,
ME,13,3.0,5,5,4,,5,,,4,,,3,,4,5,,,,,,5,4,,
BME,12,15.0,,,,,,,,,,,,,,,,,,,,,,,
ME,13,6.0,5,,2,,4,,,5,,,,,,,,,,,,,,,
CE,11,14.0,5,,2,3,4,4,4,3,,,,,,,,,,,,,,,
ME,13,12.0,5,,4,,5,,,,,,,,4,,,,,5,,5,5,4,
BME,13,9.0,,,4,,,4,,,,,,,,,,,,,,,,,
ME,13,4.0,3,,3,,,4,4,,2,,,,,,,,,,,,,,
BME,15,14.0,,,3,,,5,,,2,,3,3,5,5,3,,,,,3,,,3
BME,14,3.0,4,,3,2,5,5,5,5,,,,,,,,,,,,,,,
BME,15,5.0,5,,2,,4,,,4,3,,,,,,,,,,,,,,
BME,14,5.0,2,,3,,,,,,,,,,,,,,,,,,,,
BME,11,8.0,5,3,,,,4,,,,3,,5,3,,,,5,5,,4,5,4,
BME,12,8.0,,4,3,,,,,,,,4,4,,,4,,4,,4,,,,
BME,11,3.0,5,,,,4,4,5,,,,,,,,,,,,,,,,
CE,12,8.0,,4,4,,5,,,,5,,5,5,4,4,,,,4,,,5,5,
CE,11,4.0,5,,4,,5,4,4,4,,,,,,,,,,,,,,,
EE,10,14.0,5,,,3,,5,5,4,,,,,,,,,,,,,,,
ME,14,3.0,4,,3,,5,,,,3,,,,4,4,,,,4,,5,,4,
ME,12,4.0,4,,4,,,4,5,3,,,,,,,,,,,,,,,
BME,12,2.0,,,4,,,,,,4,,,,,,,,,5,,,5,,
ME,14,10.0,,,4,,,,,,,,,,,,,,,5,,,,,
BME,12,5.0,5,,5,3,,,,3,5,,,,,,,,,,,,,,
CE,12,8.0,5,,,,2,,3,1,,,,,,,,,,,,,,,
EE,13,1.0,4,4,4,5,,4,,3,5,,3,,4,5,4,,,,4,,,,4
ME,14,10.0,5,,,,5,,4,,,,,,,,,,,,,,,,
CE,13,5.0,5,5,,,5,5,5,,,,,5,5,5,,5,,4,,5,5,5,3
BME,13,2.0,2,4,4,,,,3,4,,,,,4,,,,,,,4,,,
BME,13,8.0,5,,5,,,,,,,,,5,5,,5,,,,,5,,,5
BME,12,14.0,,5,5,,,3,,5,4,,5,,4,,,,,,,5,5,,5
ME,11,6.0,5,5,,,,,4,,4,,,5,5,5,,,5,5,,4,4,5,
BME,11,7.0,4,4,5,2,,,,4,5,4,,5,5,5,,,5,,,,3,4,1
CE,13,13.0,5,5,3,,5,4,4,,,,,,4,5,,5,,5,,4,5,,
ME,13,5.0,3,,4,,5,4,,4,,,4,5,4,4,,,,5,,5,4,,
BME,13,11.0,5,,5,5,5,5,5,3,5,,,,,,,,,,,,,,
CE,13,3.0,4,,,,,,,,,,,,,,,,,,,,,,
ME,12,8.0,,,5,,,,,3,5,,,,,,,,,,,,,,
BME,14,1.0,4,,3,4,,,4,4,,4,4,4,,5,,,,,,,,,4
CE,14,3.0,,,,,,,,,,,,,4,,,,5,,,,,,
CE,15,9.0,4,5,5,,,,,,,,,,5,4,,,,3,,,,,4
BME,12,3.0,5,,,,,,,,,,,,,,,,,,,,,,
BME,13,13.0,,,5,,,,,,,,,,,,,,,,,,,,
ME,13,3.0,3,,,,,,,,,,,,,,,,,,,,,,
EE,16,10.0,5,,,,,3,1,3,4,,,,,,,,,,,,,,
CE,11,0.0,3,,,5,,,,,5,,,,,,,,,,,,,,
BME,13,15.0,5,4,3,,5,,5,,5,5,4,5,4,5,3,,,4,,5,4,,3
CE,11,6.0,5,,,,,,,4,5,,,5,5,5,,,,,,5,5,5,5
EE,14,1.0,5,4,4,,,4,4,,,,,5,,3,,5,5,4,,5,5,3,2
ME,13,2.0,4,,,,,,4,,,,,,,,,,,,,,,,
EE,14,15.0,4,,,,5,,,,,,,5,4,,,,,5,,4,5,5,
BME,13,2.0,,,4,,,,,,,,,,,,,,,,,,,,
BME,11,15.0,5,,5,,,4,3,5,,,,,,,,,,,,,,,
ME,11,8.0,5,,4,,,,4,5,,,,,,,,,,,,,,,
